machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:00:35.770000+00:00,2025-12-01T22:00:36.057000+00:00,,0.287,107.8,False,True
2호기(창녕),2025-12-01T22:00:36.720000+00:00,2025-12-01T22:00:37.168000+00:00,,0.448,107.8,False,True
2호기(창녕),2025-12-01T22:00:37.710000+00:00,2025-12-01T22:00:38.170000+00:00,,0.46,106.8,False,True
2호기(창녕),2025-12-01T22:00:38.740000+00:00,2025-12-01T22:00:39.173000+00:00,,0.433,106.8,False,True
2호기(창녕),2025-12-01T22:00:39.760000+00:00,2025-12-01T22:00:40.196000+00:00,,0.436,105.8,False,True
2호기(창녕),2025-12-01T22:00:40.710000+00:00,2025-12-01T22:00:41.203000+00:00,,0.493,105.8,False,True
2호기(창녕),2025-12-01T22:00:41.700000+00:00,2025-12-01T22:00:42.207000+00:00,,0.507,104.7,False,True
2호기(창녕),2025-12-01T22:00:42.720000+00:00,2025-12-01T22:00:43.110000+00:00,9.0,0.39,103.6,False,True
2호기(창녕),2025-12-01T22:00:43.710000+00:00,2025-12-01T22:00:44.111000+00:00,9.0,0.401,103.6,False,True
2호기(창녕),2025-12-01T22:00:44.700000+00:00,2025-12-01T22:00:45.115000+00:00,9.0,0.415,102.7,False,True
2호기(창녕),2025-12-01T22:00:45.760000+00:00,2025-12-01T22:00:46.117000+00:00,9.0,0.357,102.7,False,True
2호기(창녕),2025-12-01T22:00:46.770000+00:00,2025-12-01T22:00:47.138000+00:00,9.0,0.368,101.7,False,True
2호기(창녕),2025-12-01T22:00:47.750000+00:00,2025-12-01T22:00:48.149000+00:00,9.0,0.399,100.7,False,True
2호기(창녕),2025-12-01T22:00:48.720000+00:00,2025-12-01T22:00:49.153000+00:00,9.0,0.433,100.7,False,True
2호기(창녕),2025-12-01T22:00:49.730000+00:00,2025-12-01T22:00:50.157000+00:00,9.0,0.427,99.6,False,True
2호기(창녕),2025-12-01T22:00:50.720000+00:00,2025-12-01T22:00:51.281000+00:00,,0.561,99.6,False,True
2호기(창녕),2025-12-01T22:00:51.730000+00:00,2025-12-01T22:00:52.285000+00:00,,0.555,98.5,False,True
2호기(창녕),2025-12-01T22:00:52.820000+00:00,2025-12-01T22:00:53.298000+00:00,,0.478,98.5,False,True
2호기(창녕),2025-12-01T22:00:53.750000+00:00,2025-12-01T22:00:54.306000+00:00,,0.556,97.5,False,True
2호기(창녕),2025-12-01T22:00:54.750000+00:00,2025-12-01T22:00:55.213000+00:00,9.0,0.463,97.5,False,True
2호기(창녕),2025-12-01T22:00:55.770000+00:00,2025-12-01T22:00:56.215000+00:00,9.0,0.445,96.4,False,True
2호기(창녕),2025-12-01T22:00:56.770000+00:00,2025-12-01T22:00:57.066000+00:00,,0.296,95.3,False,True
2호기(창녕),2025-12-01T22:00:57.740000+00:00,2025-12-01T22:00:58.067000+00:00,,0.327,95.3,False,True
2호기(창녕),2025-12-01T22:00:58.760000+00:00,2025-12-01T22:00:59.067000+00:00,,0.307,94.2,False,True
2호기(창녕),2025-12-01T22:00:59.750000+00:00,2025-12-01T22:01:00.091000+00:00,,0.341,94.2,False,True
2호기(창녕),2025-12-01T22:01:00.810000+00:00,2025-12-01T22:01:01.099000+00:00,,0.289,93.1,False,True
2호기(창녕),2025-12-01T22:01:01.770000+00:00,2025-12-01T22:01:02.100000+00:00,,0.33,93.1,False,True
2호기(창녕),2025-12-01T22:01:02.780000+00:00,2025-12-01T22:01:03.109000+00:00,,0.329,91.8,False,True
2호기(창녕),2025-12-01T22:01:03.770000+00:00,2025-12-01T22:01:04.052000+00:00,,0.282,90.7,False,True
2호기(창녕),2025-12-01T22:01:04.770000+00:00,2025-12-01T22:01:05.162000+00:00,,0.392,90.7,False,True
2호기(창녕),2025-12-01T22:01:05.770000+00:00,2025-12-01T22:01:06.173000+00:00,,0.403,89.5,False,True
2호기(창녕),2025-12-01T22:01:06.780000+00:00,2025-12-01T22:01:07.197000+00:00,,0.417,89.5,False,True
2호기(창녕),2025-12-01T22:01:07.790000+00:00,2025-12-01T22:01:08.205000+00:00,,0.415,88.2,False,True
2호기(창녕),2025-12-01T22:01:08.770000+00:00,2025-12-01T22:01:09.118000+00:00,9.0,0.348,86.9,False,True
2호기(창녕),2025-12-01T22:01:09.790000+00:00,2025-12-01T22:01:10.127000+00:00,9.0,0.337,86.9,False,True
2호기(창녕),2025-12-01T22:01:10.790000+00:00,2025-12-01T22:01:11.134000+00:00,9.0,0.344,85.6,False,True
2호기(창녕),2025-12-01T22:01:11.780000+00:00,2025-12-01T22:01:12.137000+00:00,9.0,0.357,85.6,False,True
2호기(창녕),2025-12-01T22:01:12.820000+00:00,2025-12-01T22:01:13.145000+00:00,9.0,0.325,84.2,False,True
2호기(창녕),2025-12-01T22:01:13.770000+00:00,2025-12-01T22:01:14.151000+00:00,9.0,0.381,84.2,False,True
2호기(창녕),2025-12-01T22:01:14.800000+00:00,2025-12-01T22:01:15.153000+00:00,9.0,0.353,83.1,False,True
2호기(창녕),2025-12-01T22:01:15.790000+00:00,2025-12-01T22:01:16.272000+00:00,,0.482,82.3,False,True
2호기(창녕),2025-12-01T22:01:16.810000+00:00,2025-12-01T22:01:17.283000+00:00,,0.473,82.3,False,True
2호기(창녕),2025-12-01T22:01:17.780000+00:00,2025-12-01T22:01:17.982000+00:00,,0.202,81.4,False,True
2호기(창녕),2025-12-01T22:01:18.800000+00:00,2025-12-01T22:01:19.107000+00:00,,0.307,81.4,False,True
2호기(창녕),2025-12-01T22:01:19.780000+00:00,2025-12-01T22:01:20.056000+00:00,9.0,0.276,81.4,False,True
2호기(창녕),2025-12-01T22:01:20.800000+00:00,2025-12-01T22:01:21.161000+00:00,,0.361,81.4,False,True
2호기(창녕),2025-12-01T22:01:21.800000+00:00,2025-12-01T22:01:22.168000+00:00,,0.368,82.8,False,True
2호기(창녕),2025-12-01T22:01:47.770000+00:00,2025-12-01T22:01:48.210000+00:00,10.0,0.44,79.2,False,True
2호기(창녕),2025-12-01T22:01:48.790000+00:00,2025-12-01T22:01:49.212000+00:00,10.0,0.422,79.2,False,True
2호기(창녕),2025-12-01T22:01:49.800000+00:00,2025-12-01T22:01:50.025000+00:00,,0.225,103.3,False,True
2호기(창녕),2025-12-01T22:01:50.780000+00:00,2025-12-01T22:01:51.026000+00:00,,0.246,130.6,False,True
2호기(창녕),2025-12-01T22:01:51.790000+00:00,2025-12-01T22:01:52.163000+00:00,,0.373,130.6,False,True
2호기(창녕),2025-12-01T22:01:52.790000+00:00,2025-12-01T22:01:53.165000+00:00,,0.375,147.1,False,True
2호기(창녕),2025-12-01T22:01:53.780000+00:00,2025-12-01T22:01:54.187000+00:00,,0.407,150.9,False,True
2호기(창녕),2025-12-01T22:01:54.780000+00:00,2025-12-01T22:01:55.198000+00:00,,0.418,150.9,False,True
2호기(창녕),2025-12-01T22:01:55.790000+00:00,2025-12-01T22:01:56.199000+00:00,,0.409,149.7,False,True
2호기(창녕),2025-12-01T22:01:56.820000+00:00,2025-12-01T22:01:57.203000+00:00,,0.383,149.7,False,True
2호기(창녕),2025-12-01T22:01:57.820000+00:00,2025-12-01T22:01:58.109000+00:00,10.0,0.289,147.3,False,True
2호기(창녕),2025-12-01T22:01:58.820000+00:00,2025-12-01T22:01:59.154000+00:00,10.0,0.334,147.3,False,True
2호기(창녕),2025-12-01T22:01:59.830000+00:00,2025-12-01T22:02:00.157000+00:00,10.0,0.327,144.8,False,True
2호기(창녕),2025-12-01T22:02:00.800000+00:00,2025-12-01T22:02:01.158000+00:00,10.0,0.358,142.4,False,True
2호기(창녕),2025-12-01T22:02:01.800000+00:00,2025-12-01T22:02:02.260000+00:00,,0.46,142.4,False,True
2호기(창녕),2025-12-01T22:02:02.810000+00:00,2025-12-01T22:02:03.272000+00:00,,0.462,140.1,False,True
2호기(창녕),2025-12-01T22:02:03.800000+00:00,2025-12-01T22:02:04.276000+00:00,,0.476,140.1,False,True
2호기(창녕),2025-12-01T22:02:04.790000+00:00,2025-12-01T22:02:05.282000+00:00,,0.492,138.0,False,True
